Area;Gross
Austria;$2779209
Belgium;$5256248
Bulgaria;$927557
Croatia;$249665
Czech Republic;$860430
Denmark;$3192767
Finland;$2487303
France;$18982149
Germany;$21732312
Greece;$1154576
Hungary;$1610816
Iceland;$263704
Italy;$17103219
Lithuania;$90601
Netherlands;$10933557
Norway;$2776458
Poland;$2711056
Portugal;$1922917
Romania;$1155111
Serbia and Montenegro;$327282
Slovakia;$250153
Slovenia;$115657
South Africa;$2967200
Spain;$28497973
Sweden;$4797881
Switzerland;$3243723
TÃ¼rkiye;$961680
Ukraine;$2026313
United Arab Emirates;$10023796
United Kingdom;$52715309
